2	1	38.500000	54	20	0	1	2	2	3	4	1	2	2	5.900000	0	2	42	6.300000	0	0	1
2	1	37.600000	48	36	0	0	1	1	0	3	0	0	0	0	0	0	44	6.300000	1	5	1
1	1	37.700000	44	28	0	4	3	2	5	4	4	1	1	0	3	5	45	70	3	2	1
1	1	37	56	24	3	1	4	2	4	4	3	1	1	0	0	0	35	61	3	2	-1
2	1	38	42	12	3	0	3	1	1	0	1	0	0	0	0	2	37	5.800000	0	0	1
1	1	0	60	40	3	0	1	1	0	4	0	3	2	0	0	5	42	72	0	0	1
2	1	38.400000	80	60	3	2	2	1	3	2	1	2	2	0	1	1	54	6.900000	0	0	1
2	1	37.800000	48	12	2	1	2	1	3	0	1	2	0	0	2	0	48	7.300000	1	0	1
2	1	37.900000	45	36	3	3	3	2	2	3	1	2	1	0	3	0	33	5.700000	3	0	1
2	1	39	84	12	3	1	5	1	2	4	2	1	2	7	0	4	62	5.900000	2	2.200000	-1
2	1	38.200000	60	24	3	1	3	2	3	3	2	3	3	0	4	4	53	7.500000	2	1.400000	1
1	1	0	140	0	0	0	4	2	5	4	4	1	1	0	0	5	30	69	0	0	-1
1	1	37.900000	120	60	3	3	3	1	5	4	4	2	2	7.500000	4	5	52	6.600000	3	1.800000	-1
2	1	38	72	36	1	1	3	1	3	0	2	2	1	0	3	5	38	6.800000	2	2	1
2	9	38	92	28	1	1	2	1	1	3	2	3	0	7.200000	0	0	37	6.100000	1	1.100000	1
1	1	38.300000	66	30	2	3	1	1	2	4	3	3	2	8.500000	4	5	37	6	0	0	1
2	1	37.500000	48	24	3	1	1	1	2	1	0	1	1	0	3	2	43	6	1	2.800000	1
1	1	37.500000	88	20	2	3	3	1	4	3	3	0	0	0	0	0	35	6.400000	1	0	-1
2	9	0	150	60	4	4	4	2	5	4	4	0	0	0	0	0	0	0	0	0	-1
1	1	39.700000	100	30	0	0	6	2	4	4	3	1	0	0	4	5	65	75	0	0	-1
1	1	38.300000	80	0	3	3	4	2	5	4	3	2	1	0	4	4	45	7.500000	2	4.600000	1
2	1	37.500000	40	32	3	1	3	1	3	2	3	2	1	0	0	5	32	6.400000	1	1.100000	1
1	1	38.400000	84	30	3	1	5	2	4	3	3	2	3	6.500000	4	4	47	7.500000	3	0	-1
1	1	38.100000	84	44	4	0	4	2	5	3	1	1	3	5	0	4	60	6.800000	0	5.700000	-1
2	1	38.700000	52	0	1	1	1	1	1	3	1	0	0	0	1	3	4	74	0	0	1
2	1	38.100000	44	40	2	1	3	1	3	3	1	0	0	0	1	3	35	6.800000	0	0	1
2	1	38.400000	52	20	2	1	3	1	1	3	2	2	1	0	3	5	41	63	1	1	1
1	1	38.200000	60	0	1	0	3	1	2	1	1	1	1	0	4	4	43	6.200000	2	3.900000	1
2	1	37.700000	40	18	1	1	1	0	3	2	1	1	1	0	3	3	36	3.500000	0	0	1
1	1	39.100000	60	10	0	1	1	0	2	3	0	0	0	0	4	4	0	0	0	0	1
2	1	37.800000	48	16	1	1	1	1	0	1	1	2	1	0	4	3	43	7.500000	0	0	1
1	1	39	120	0	4	3	5	2	2	4	3	2	3	8	0	0	65	8.200000	3	4.600000	1
1	1	38.200000	76	0	2	3	2	1	5	3	3	1	2	6	1	5	35	6.500000	2	0.900000	1
2	1	38.300000	88	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
1	1	38	80	30	3	3	3	1	0	0	0	0	0	6	0	0	48	8.300000	0	4.300000	1
1	1	0	0	0	3	1	1	1	2	3	3	1	3	6	4	4	0	0	2	0	-1
1	1	37.600000	40	0	1	1	1	1	1	1	1	0	0	0	1	1	0	0	2	2.100000	1
2	1	37.500000	44	0	1	1	1	1	3	3	2	0	0	0	0	0	45	5.800000	2	1.400000	1
2	1	38.200000	42	16	1	1	3	1	1	3	1	0	0	0	1	0	35	60	1	1	1
2	1	38	56	44	3	3	3	0	0	1	1	2	1	0	4	0	47	70	2	1	1
2	1	38.300000	45	20	3	3	2	2	2	4	1	2	0	0	4	0	0	0	0	0	1
1	1	0	48	96	1	1	3	1	0	4	1	2	1	0	1	4	42	8	1	0	1
1	1	37.700000	55	28	2	1	2	1	2	3	3	0	3	5	4	5	0	0	0	0	1
2	1	36	100	20	4	3	6	2	2	4	3	1	1	0	4	5	74	5.700000	2	2.500000	-1
1	1	37.100000	60	20	2	0	4	1	3	0	3	0	2	5	3	4	64	8.500000	2	0	1
2	1	37.100000	114	40	3	0	3	2	2	2	1	0	0	0	0	3	32	0	3	6.500000	1
1	1	38.100000	72	30	3	3	3	1	4	4	3	2	1	0	3	5	37	56	3	1	1
1	1	37	44	12	3	1	1	2	1	1	1	0	0	0	4	2	40	6.700000	3	8	1
1	1	38.600000	48	20	3	1	1	1	4	3	1	0	0	0	3	0	37	75	0	0	1
1	1	0	82	72	3	1	4	1	2	3	3	0	3	0	4	4	53	65	3	2	-1
1	9	38.200000	78	60	4	4	6	0	3	3	3	0	0	0	1	0	59	5.800000	3	3.100000	-1
2	1	37.800000	60	16	1	1	3	1	2	3	2	1	2	0	3	0	41	73	0	0	-1
1	1	38.700000	34	30	2	0	3	1	2	3	0	0	0	0	0	0	33	69	0	2	-1
1	1	0	36	12	1	1	1	1	1	2	1	1	1	0	1	5	44	0	0	0	1
2	1	38.300000	44	60	0	0	1	1	0	0	0	0	0	0	0	0	6.400000	36	0	0	1
2	1	37.400000	54	18	3	0	1	1	3	4	3	2	2	0	4	5	30	7.100000	2	0	1
1	1	0	0	0	4	3	0	2	2	4	1	0	0	0	0	0	54	76	3	2	1
1	1	36.600000	48	16	3	1	3	1	4	1	1	1	1	0	0	0	27	56	0	0	-1
1	1	38.500000	90	0	1	1	3	1	3	3	3	2	3	2	4	5	47	79	0	0	1
1	1	0	75	12	1	1	4	1	5	3	3	0	3	5.800000	0	0	58	8.500000	1	0	1
2	1	38.200000	42	0	3	1	1	1	1	1	2	2	1	0	3	2	35	5.900000	2	0	1
1	9	38.200000	78	60	4	4	6	0	3	3	3	0	0	0	1	0	59	5.800000	3	3.100000	-1
2	1	38.600000	60	30	1	1	3	1	4	2	2	1	1	0	0	0	40	6	1	0	1
2	1	37.800000	42	40	1	1	1	1	1	3	1	0	0	0	3	3	36	6.200000	0	0	1
1	1	38	60	12	1	1	2	1	2	1	1	1	1	0	1	4	44	65	3	2	-1
2	1	38	42	12	3	0	3	1	1	1	1	0	0	0	0	1	37	5.800000	0	0	1
2	1	37.600000	88	36	3	1	1	1	3	3	2	1	3	1.500000	0	0	44	6	0	0	-1
